STT,Định danh,Chủ đề,Đề bài (chuyển đổi),Đáp án (chuyển đổi),Lời giải (chuyển đổi),Nhận xét A,Nhận xét B,Ghi chú lỗi chuyển markdown
1,SP-01 (Trang 10 - Câu 29),Số phức,"Cho số phức $z = 3-2i$. Tìm phần thực và phần ảo của số phức $\overline{z}$.

A. Phần thực bằng $-3$ và phần ảo bằng $-2i$.
B. Phần thực bằng $-3$ và phần ảo bằng $-2$.
C. Phần thực bằng $3$ và phần ảo bằng $2i$.
D. Phần thực bằng $3$ và phần ảo bằng $2$.",D. Phần thực bằng 3 và phần ảo bằng 2.,Từ $z = 3-2i$ suy ra $\overline{z} = 3+2i$. Nên phần thực của $\overline{z}$ bằng $3$ và phần ảo của $\overline{z}$ bằng $2$.,,,
2,SP-02 (Trang 10 - Câu 30),Số phức,"Cho hai số phức $z_1 = 1+i$ và $z_2 = 2-3i$. Tính môđun của số phức $z_1+z_2$.

A. $|z_1+z_2| = \sqrt{13}$.
B. $|z_1+z_2| = \sqrt{5}$.
C. $|z_1+z_1| = 1$.
D. $|z_1+z_2| = 5$.",A. $|z_1+z_2| = \sqrt{13}$.,Ta có $z_1+z_2 = 3-2i \Rightarrow |z_1+z_2| = \sqrt{3^2+(-2)^2} = \sqrt{13}$.,,,
3,SP-03 (Trang 11 - Câu 32),Số phức,"Cho số phức $z = 2+5i$. Tìm số phức $w = iz+\overline{z}$.

A. $w = 7-3i$.
B. $w = -3-3i$.
C. $w = 3+7i$.
D. $w = -7-7i$.",B. $w = -3-3i$.,$w = i(2+5i)+2-5i = 2i-5+2-5i = -3-3i$.,,,
4,SP-04 (Trang 11 - Câu 34),Số phức,"Cho số phức $z$ thỏa mãn $|z| = 4$. Biết rằng tập hợp các điểm biểu diễn các số phức $w = (3+4i)z+i$ là một đường tròn. Tính bán kính $r$ của đường tròn đó.

A. $r = 4$.
B. $r = 5$.
C. $r = 20$.
D. $r = 22$.",C. $r = 20$.,"Giả sử $w = x+yi$ $(x,y \in \mathbb{R})$. Ta có: $w = (3+4i)z+i \Leftrightarrow z = \dfrac{w-i}{3+4i} = \dfrac{x+(y-1)i}{3+4i} = \dfrac{3x-4(y-1)+[3(y-1)+4x]i}{25}$.
Do đó $|z|=4 \Leftrightarrow \left(\dfrac{3x-4y+4}{25}\right)^2+\left(\dfrac{4x+3y-3}{25}\right)^2 = 16 \Leftrightarrow x^2+(y-1)^2 = 400$.
Suy ra $r=20$.",,,
5,SP-05 (Trang 24 - Câu 30),Số phức,"Tìm số phức liên hợp của số phức $z = i(3i+1)$.

A. $\overline{z} = 3-i$.
B. $\overline{z} = -3+i$.
C. $\overline{z} = 3+i$.
D. $\overline{z} = -3-i$.",D. $\overline{z} = -3-i$.,Ta có $z = -3+i \Rightarrow \overline{z} = -3-i$.,,,
6,SP-06 (Trang 24 - Câu 31),Số phức,"Tính môđun của số phức $z$ thỏa mãn $z(2-i)+13i = 1$.

A. $|z| = \sqrt{34}$.
B. $|z| = 34$.
C. $|z| = \dfrac{5\sqrt{34}}{3}$.
D. $|z| = \dfrac{\sqrt{34}}{4}$.",A. $|z| = \sqrt{34}$.,"Ta có: $z(2-i)+13i = 1 \Leftrightarrow z = \dfrac{1-13i}{2-i} \Leftrightarrow z = \dfrac{(1-13i)(2+i)}{(2-i)(2+i)} = 3-5i$.
$|z| = \sqrt{3^2+(-5)^2} = \sqrt{34}$.",,,
7,SP-07 (Trang 25 - Câu 33),Số phức,"Cho số phức $z = a+bi$ $(a,b \in \mathbb{R})$ thỏa mãn $(1+i)z+2\overline{z} = 3+2i$. Tính $P = a+b$.

A. $P = \dfrac{1}{2}$.
B. $P = 1$.
C. $P = -1$.
D. $P = -\dfrac{1}{2}$.",C. $P = -1$.,"Ta có: $(1+i)z+2\overline{z} = 3+2i$ $(1)$.
Ta có: $z = a+bi \Rightarrow \overline{z} = a-bi$. Thay vào $(1)$ ta được:
$(1+i)(a+bi)+2(a-bi) = 3+2i \Leftrightarrow (a-b)i+(3a-b) = 3+2i \Leftrightarrow \begin{cases} a-b=2 \\ 3a-b=3 \end{cases} \Leftrightarrow \begin{cases} a=\dfrac{1}{2} \\ b=-\dfrac{3}{2} \end{cases} \Rightarrow P=-1$.",,,
8,SP-08 (Trang 25 - Câu 34),Số phức,"Xét số phức $z$ thỏa mãn $(1+2i)|z| = \dfrac{\sqrt{10}}{z}-2+i$. Mệnh đề nào dưới đây đúng?

A. $\dfrac{3}{2} < |z| < 2$.
B. $|z| > 2$.
C. $|z| < \dfrac{1}{2}$.
D. $\dfrac{1}{2} < |z| < \dfrac{3}{2}$.",D. $\dfrac{1}{2} < |z| < \dfrac{3}{2}$.,"Ta có: $(1+2i)|z| = \dfrac{\sqrt{10}}{z}-2+i \Leftrightarrow (1+2i)|z| = \dfrac{\sqrt{10}}{z}+i(1+2i) \Leftrightarrow (1+2i)(|z|-i) = \dfrac{\sqrt{10}}{z}$.
$\Rightarrow |(1+2i)(|z|-i)| = \left|\dfrac{\sqrt{10}}{z}\right| \Rightarrow |1+2i|\cdot||z|-i| = \dfrac{\sqrt{10}}{|z|}$ $(*)$.
Đặt $t=|z|$ thì $t \in \mathbb{R}, t>0$ và $(*) \Leftrightarrow \sqrt{5}\cdot\sqrt{t^2+1} = \dfrac{\sqrt{10}}{t} \Leftrightarrow t^4+t^2=2 \Rightarrow t=1$ (do $t>0$).
Vậy, $|z|=t=1 \Rightarrow \dfrac{1}{2}<t<\dfrac{3}{2}$.",,,
9,SP-09 (Trang 31 - Câu 4),Số phức,"Kí hiệu $a, b$ lần lượt là phần thực và phần ảo của số phức $3-2\sqrt{2}i$. Tìm $a, b$.

A. $a=3, b=2$.
B. $a=3, b=2\sqrt{2}$.
C. $a=3, b=\sqrt{2}$.
D. $a=3, b=-2\sqrt{2}$.","D. $a=3, b=-2\sqrt{2}$.","Số phức $3-2\sqrt{2}i$ có phần thực và phần ảo lần lượt là $3$ và $-2\sqrt{2}$. Vậy, $a=3, b=-2\sqrt{2}$.",,,
10,SP-10 (Trang 31 - Câu 5),Số phức,"Tính môđun của số phức $z$ biết $\overline{z} = (4-3i)(1+i)$.

A. $|z| = 25\sqrt{2}$.
B. $|z| = 7\sqrt{2}$.
C. $|z| = 5\sqrt{2}$.
D. $|z| = \sqrt{2}$.",C. $|z| = 5\sqrt{2}$.,Ta có $\overline{z} = (4-3i)(1+i) = 7+i \Rightarrow |\overline{z}| = \sqrt{50} \Rightarrow |z| = \sqrt{50} = 5\sqrt{2}$.,,,
